,SitID,HorID,Pick,Quality,Tops
783,103699,14000,658.5,1,paleozoic
784,103700,1000,360.5,1,mannville
785,103700,2000,        ,-1,t61
786,103700,3000,        ,-1,t51
787,103700,4000,        ,-1,t41
788,103700,5000,484,1,t31
789,103700,6000,        ,-1,clw_wab
790,103700,7000,508,2,t21
791,103700,9000,        ,0,t15
792,103700,9500,        ,0,e14
793,103700,10000,512,2,t11
794,103700,11000,514,2,t10.5
795,103700,12000,514,2,e10
796,103700,13000,514,2,mcmurray
797,103700,14000,603,1,paleozoic
798,103703,1000,398,1,mannville
799,103703,2000,        ,-1,t61
800,103703,3000,        ,-1,t51
801,103703,4000,        ,-1,t41
802,103703,5000,509,1,t31
803,103703,6000,        ,-1,clw_wab
804,103703,7000,532.5,2,t21
805,103703,9000,        ,0,t15
806,103703,9500,        ,0,e14
807,103703,10000,537,2,t11
808,103703,11000,541,2,t10.5
809,103703,12000,541,2,e10
810,103703,13000,541,2,mcmurray
811,103703,14000,627,1,paleozoic
812,103704,1000,399,1,mannville
813,103704,2000,        ,-1,t61
814,103704,3000,        ,-1,t51
815,103704,4000,        ,-1,t41
816,103704,5000,523,1,t31
817,103704,6000,        ,-1,clw_wab
818,103704,7000,544,2,t21
